DQA_NBEW_BEKAT
DQA_NBEW_BETT
DQA_NBEW_BWART
DQA_NBEW_BWGR12
DQA_NBEW_CLASS
DQA_NBEW_DSPTY
DQA_NBEW_EZUST
DQA_NBEW_FACHR
DQA_NBEW_INSEV
DQA_NBEW_OPART
DQA_NBEW_ORGAU
DQA_NBEW_ORGFA
DQA_NBEW_ORGPF
DQA_NBEW_PLANR
DQA_NBEW_RFSRC
DQA_NBEW_STATU
DQA_NBEW_STOID
DQA_NBEW_TODUR
DQA_NBEW_TPART
DQA_NBEW_UNFAV
DQA_NBEW_UNFKZ
DQA_NBEW_UNFRT
DQA_NBEW_VISTY
DQA_NBEW_ZIMMR
