Anzahl;Jahr
2;1999
3;2000
4;2001
1;2003
4;2004
14;2006
4;2007
3;2008
11;2009
45;2010
42;2011
71;2012
87;2013
43;2014
90;2015
43;2016
285;2017
805;2018
2246;2019
43291;2020
858879;2021
441;2022
1;2027
1;2035
1;2049
1;2050
1;2200
1;2202
3;9999
